,sbj,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,goal,rt_max,value diff,Right Value - Left Value,gaze diff,Dwell Time Advantage (R - L)
210,0,106,1.533,1,1.1,2.0,0.319634703,0.680365297,1,7.946718428440665,7.0,2.0,6.0,0.5
211,0,107,2.028,0,1.25,1.7,0.508908686,0.491091314,-1,7.946718428440665,6.0,1.0,4.0,0.0
212,0,107,1.556,0,1.25,0.65,0.494219653,0.505780347,1,7.946718428440665,4.0,-1.0,4.0,0.0
213,0,108,1.665,1,1.85,0.35,0.336065574,0.663934426,-1,7.946718428440665,2.0,-3.0,5.0,0.25
214,0,108,1.545,0,1.55,1.55,0.561685824,0.438314176,1,7.946718428440665,5.0,0.0,3.0,-0.25
215,0,109,1.58,1,2.3,0.95,0.41472577,0.58527423,-1,7.946718428440665,3.0,-2.0,5.0,0.25
216,0,109,1.291,1,1.7,2.0,0.333075136,0.666924864,1,7.946718428440665,6.0,1.0,6.0,0.5
217,0,110,4.189,0,1.7,2.3,0.493912628,0.506087372,-1,7.946718428440665,6.0,1.0,4.0,0.0
218,0,110,1.544,1,1.4,1.55,0.388305847,0.611694153,1,7.946718428440665,5.0,0.0,5.0,0.25
219,0,111,2.626,0,1.7,1.85,0.605,0.395,-1,7.946718428440665,5.0,0.0,3.0,-0.25
220,0,111,4.19,1,0.65,0.95,0.48040201,0.51959799,1,7.946718428440665,6.0,1.0,4.0,0.0
221,0,112,3.783,1,1.7,1.25,0.48615564,0.51384436,-1,7.946718428440665,4.0,-1.0,4.0,0.0
222,0,112,1.712,1,0.65,1.85,0.371495327,0.628504673,1,7.946718428440665,7.0,2.0,5.0,0.25
223,0,113,2.92,0,1.55,2.0,0.560500184,0.439499816,-1,7.946718428440665,6.0,1.0,3.0,-0.25
224,0,113,2.958,1,1.55,0.95,0.500547246,0.499452754,1,7.946718428440665,4.0,-1.0,4.0,0.0
225,0,114,4.843,0,1.25,1.1,0.515099223,0.484900777,-1,7.946718428440665,5.0,0.0,4.0,0.0
226,0,114,1.618,0,2.3,0.95,0.659269864,0.340730136,1,7.946718428440665,3.0,-2.0,3.0,-0.25
227,0,115,5.275,0,1.4,1.7,0.513175355,0.486824645,-1,7.946718428440665,6.0,1.0,4.0,0.0
