,sbj,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,react_time,goal,RT,rt_max,value diff,Right Value - Left Value,gaze diff,Dwell Time Advantage (R - L)
170,0,87,1.580206,1,93,80,0.5387188651206295,0.4612811348793704,1580.206,-1,,6.440692531296836,1.0,-15.0,4.0,0.0
171,0,87,2.42421,0,93,80,0.790100859,0.209899141,,1,2424.21,6.440692531296836,1.0,-15.0,2.0,-0.5
172,0,88,3.148962,0,80,90,0.5279251463056979,0.4720748536943021,3151.962,-1,,6.440692531296836,6.0,10.0,4.0,0.0
173,0,88,1.269404,1,80,90,0.560204249,0.439795751,,1,1269.404,6.440692531296836,6.0,10.0,4.0,0.0
174,0,89,2.1292,1,88,80,0.5684269768314417,0.4315730231685582,2132.2,-1,,6.440692531296836,2.0,-10.0,4.0,0.0
175,0,89,2.779274,0,88,80,0.467913508,0.532086492,,1,2779.274,6.440692531296836,2.0,-10.0,5.0,0.25
176,0,90,1.52868,0,80,70,0.5961183996530414,0.4038816003469587,1528.68,-1,,6.440692531296836,2.0,-10.0,3.0,-0.25
177,0,90,2.537132,0,80,70,0.731071178,0.268928822,,1,2537.132,6.440692531296836,2.0,-10.0,2.0,-0.5
178,0,91,1.4422139999999999,0,80,93,0.5092321617371027,0.4907678382628972,1442.214,-1,,6.440692531296836,7.0,15.0,4.0,0.0
179,0,91,2.351272,1,80,93,0.50418983,0.49581017,,1,2354.272,6.440692531296836,7.0,15.0,4.0,0.0
180,0,92,1.628017,0,82,80,0.5511809471862034,0.4488190528137966,1628.017,-1,,6.440692531296836,4.0,0.0,4.0,0.0
181,0,92,2.358716,0,82,80,0.598399804,0.401600196,,1,2358.716,6.440692531296836,4.0,0.0,3.0,-0.25
182,0,93,2.3462310000000004,1,50,41,0.6201802501566668,0.3798197498433331,2346.231,-1,,6.440692531296836,2.0,-10.0,3.0,-0.25
183,0,93,2.684724,0,50,41,0.524504748,0.475495252,,1,2687.724,6.440692531296836,2.0,-10.0,4.0,0.0
184,0,94,3.3163390000000006,0,96,110,0.6198336487429924,0.3801663512570076,3316.3390000000004,-1,,6.440692531296836,7.0,15.0,3.0,-0.25
185,0,94,1.9834770000000002,1,96,110,0.542169463,0.457830537,,1,1983.477,6.440692531296836,7.0,15.0,4.0,0.0
186,0,95,3.031183,0,80,85,0.6334080053409176,0.3665919946590825,3031.183,-1,,6.440692531296836,5.0,5.0,3.0,-0.25
187,0,95,4.65079,1,80,85,0.563355808,0.436644192,,1,4650.79,6.440692531296836,5.0,5.0,4.0,0.0
188,0,96,2.2667640000000002,0,60,50,0.6581142356650295,0.3418857643349705,2269.764,-1,,6.440692531296836,2.0,-10.0,3.0,-0.25
189,0,96,3.835065,0,60,50,0.644743172,0.355256828,,1,3835.065,6.440692531296836,2.0,-10.0,3.0,-0.25
190,0,97,1.32142,0,41,50,0.4349118443078174,0.5650881556921826,1321.42,-1,,6.440692531296836,6.0,10.0,5.0,0.25
191,0,97,3.849206,1,41,50,0.69547671,0.30452329,,1,3849.206,6.440692531296836,6.0,10.0,2.0,-0.5
192,0,98,2.265431,1,110,96,0.6962492987388147,0.3037507012611853,2265.431,-1,,6.440692531296836,1.0,-15.0,2.0,-0.5
193,0,98,3.243343,0,110,96,0.756965873,0.243034127,,1,3243.343,6.440692531296836,1.0,-15.0,2.0,-0.5
194,0,99,4.16413,0,72,80,0.5368720190682641,0.4631279809317359,4164.13,-1,,6.440692531296836,6.0,10.0,4.0,0.0
195,0,99,1.644584,1,72,80,0.60673106,0.39326894,,1,1644.584,6.440692531296836,6.0,10.0,3.0,-0.25
196,0,100,2.7263920000000006,0,49,50,0.7040489661740578,0.2959510338259422,2726.3920000000003,-1,,6.440692531296836,4.0,0.0,2.0,-0.5
197,0,100,1.274981,1,49,50,0.4332852,0.5667148,,1,1274.981,6.440692531296836,4.0,0.0,5.0,0.25
198,0,101,2.4649490000000003,1,43,50,0.681068076115217,0.318931923884783,2464.949,-1,,6.440692531296836,5.0,5.0,3.0,-0.25
199,0,101,2.5890549999999997,1,43,50,0.443062768,0.556937232,,1,2591.055,6.440692531296836,5.0,5.0,5.0,0.25
200,0,102,1.844314,1,51,50,0.6018051757642746,0.3981948242357253,1844.314,-1,,6.440692531296836,4.0,0.0,3.0,-0.25
